ID_Cliente,Evasion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Servicio_Telefono,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Backup_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Iipo_Internet,Cuentas_Diarias
0002-Orfbo,No,Femenino,0,Sí,Sí,9,Sí,No,Dsl,No,Sí,No,Sí,Sí,No,Anual,Yes,Cheque Enviado,65.6,593.3,Dsl,2.19
0003-Mknfe,No,Masculino,0,No,No,9,Sí,Sí,Dsl,No,No,No,No,No,Sí,Mensual,No,Cheque Enviado,59.9,542.4,Dsl,2.0
0004-Tlhlj,Sí,Masculino,0,No,No,4,Sí,No,Fibra Optica,No,No,Sí,No,No,No,Mensual,Yes,Cheque Electronico,73.9,280.85,Fiber Optic,2.46
0011-Igkff,Sí,Masculino,1,Sí,No,13,Sí,No,Fibra Optica,No,Sí,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,98.0,1237.85,Fiber Optic,3.27
0013-Exchz,Sí,Femenino,1,Sí,No,3,Sí,No,Fibra Optica,No,No,No,Sí,Sí,No,Mensual,Yes,Cheque Enviado,83.9,267.4,Fiber Optic,2.8
0013-Mhzwf,No,Femenino,0,No,Sí,9,Sí,No,Dsl,No,No,No,Sí,Sí,Sí,Mensual,Yes,Tarjeta De Crédito (Automático),69.4,571.45,Dsl,2.31
0013-Smeoe,No,Femenino,1,Sí,No,71,Sí,No,Fibra Optica,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Transferencia Bancaria (Automática),109.7,7904.25,Fiber Optic,3.66
0014-Bmaqu,No,Masculino,0,Sí,No,63,Sí,Sí,Fibra Optica,Sí,No,No,Sí,No,No,Bienal,Yes,Tarjeta De Crédito (Automático),84.65,5377.8,Fiber Optic,2.82
0015-Uocoj,No,Femenino,1,No,No,7,Sí,No,Dsl,Sí,No,No,No,No,No,Mensual,Yes,Cheque Electronico,48.2,340.35,Dsl,1.61
0016-Qljis,No,Femenino,0,Sí,Sí,65,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque Enviado,90.45,5957.9,Dsl,3.02
0017-Dinoc,No,Masculino,0,No,No,54,No,Sin Servicio De Teléfono,Dsl,Sí,No,No,Sí,Sí,No,Bienal,No,Tarjeta De Crédito (Automático),45.2,2460.55,Dsl,1.51
